event,scoreNode,startDateScoreNode,nameScoreNode,locationTypeScoreNode,postalCodeScoreNode,locationSameAsScoreNode,urlScoreNode,additionalTypeScoreNode,descriptionScoreNode,imageUrlScoreNode,organizerTypeScoreNode,organizerSameAsScoreNode,performerTypeScoreNode,performerSameAsScoreNode,offerTypeScoreNode,offerUrlScoreNode,addressTypeScoreNode,streetAddressScoreNode,addressLocalityScoreNode,addressRegionScoreNode,addressCountryScoreNode,endDateScoreNode,eventStatusScoreNode,eventAttendanceModeScoreNode,doorTimeScoreNode,durationScoreNode,mainEntityOfPageUrlScoreNode,scorePercent,name,score
http://www.kingstongrand.ca/events/mw4-hindemith-haydn,_:f9,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Hindemith & Haydn,49
http://www.kingstongrand.ca/events/hotel-california-2025,_:g0,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Hotel California®  - The Original Tribute to the Eagles,49
http://www.kingstongrand.ca/events/the-road-to-mecca,_:g1,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,The Road to Mecca,49
http://www.kingstongrand.ca/events/pops2-tasty-tunes-with-quartetto-gelato,_:g2,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Tasty Tunes with Quartetto Gelato,49
http://www.kingstongrand.ca/events/the-magic-school-bus-lost-in-the-solar-system,_:g3,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,The Magic School Bus,49
http://www.kingstongrand.ca/events/comfortably-numb-2025,_:g4,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Comfortably Numb - Canada's Pink Floyd Show,49
http://www.kingstongrand.ca/events/jake-shimabukuro-2025,_:g5,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Jake Shimabukuro,49
http://www.kingstongrand.ca/events/proartedanze-the-9th,_:g6,12,8,8,4,0,2,0,0,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,70.65217391304347826086956521739130435,ProArteDanza - The 9th!,47
http://www.kingstongrand.ca/events/circumpolar-soundscape,_:g7,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Circumpolar Soundscape,49
http://www.kingstongrand.ca/events/mw5-ligeti-tchaikovsky,_:g8,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Ligeti & Tchaikovsky,49
http://www.kingstongrand.ca/events/gruffalos-child,_:g9,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,"""The Gruffalo's Child""",49
http://www.kingstongrand.ca/events/hyprov-improv-under-hypnosis,_:h0,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Hyprov - Improv Under Hypnosis,49
http://www.kingstongrand.ca/events/choir-choir-choir-1,_:h1,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Choir! Choir! Choir!,49
http://www.kingstongrand.ca/events/step-afrika,_:h2,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Step Afrika!,49
